STUDENT,GROUP,TIME,SUTURES,INVESTIGATOR,VIDEO,OSATS_RESPECT,OSATS_MOTION,OSATS_INSTRUMENT,OSATS_SUTURE,OSATS_FLOW,OSATS_KNOWLEDGE,OSATS_PERFORMANCE,OSATS_FINAL_QUALITY,GLOBA_RATING_SCORE
ASG463,HMD-BASED,PRE,0.5,B,S84F,1,2,2,1,2,1,2,1,12
ASG463,HMD-BASED,PRE,0.5,C,S84F,1,4,2,1,4,1,1,1,15
ASG463,HMD-BASED,POST,3,A,F48S,2,3,3,3,4,5,3,4,27
ASG463,HMD-BASED,POST,3,B,F48S,1,2,3,2,2,4,3,3,20
ASG463,HMD-BASED,POST,3,C,F48S,2,3,2,4,3,4,3,3,24
AVY994,TUTOR-LED,PRE,1.5,A,V63F,1,1,1,1,1,2,1,1,9
AVY994,TUTOR-LED,PRE,1.5,B,V63F,1,2,3,2,2,3,2,2,17
AVY994,TUTOR-LED,PRE,1.5,C,V63F,3,1,2,2,1,2,1,1,13
AVY994,TUTOR-LED,POST,3,A,F36V,3,3,3,3,4,4,3,4,27
AVY994,TUTOR-LED,POST,3,B,F36V,2,3,4,4,3,4,3,4,27
AVY994,TUTOR-LED,POST,3,C,F36V,3,3,3,4,3,4,3,3,26
BMA417,HMD-BASED,PRE,2.5,A,N75S,1,1,1,1,1,1,2,1,9
BMA417,HMD-BASED,PRE,2.5,B,N75S,1,2,2,2,1,2,1,1,12
BMA417,HMD-BASED,PRE,2.5,C,N75S,1,1,1,1,1,1,1,1,8
BMA417,HMD-BASED,POST,4.5,A,S57N,3,3,3,2,3,3,3,3,23
BMA417,HMD-BASED,POST,4.5,B,S57N,3,4,4,3,3,4,3,3,27
BMA417,HMD-BASED,POST,4.5,C,S57N,3,2,2,3,3,3,3,2,21
BOG917,HMD-BASED,PRE,2.5,A,C16G,3,3,3,2,2,2,2,1,18
BOG917,HMD-BASED,PRE,2.5,B,C16G,2,2,3,2,3,3,3,3,21
BOG917,HMD-BASED,PRE,2.5,C,C16G,1,1,2,2,2,2,2,2,14
BOG917,HMD-BASED,POST,4.5,A,G61C,4,3,5,3,4,4,3,3,29
BOG917,HMD-BASED,POST,4.5,B,G61C,3,3,4,4,3,4,3,3,27
BOG917,HMD-BASED,POST,4.5,C,G61C,3,4,3,3,3,4,3,3,26
BPK693,TUTOR-LED,PRE,0.5,A,I67J,1,1,1,1,1,1,1,1,8
BPK693,TUTOR-LED,PRE,0.5,B,I67J,3,2,3,2,2,2,2,1,17
BPK693,TUTOR-LED,PRE,0.5,C,I67J,1,1,1,1,1,1,1,1,8
BPK693,TUTOR-LED,POST,2.5,A,J76I,3,3,3,3,4,4,3,4,27
BPK693,TUTOR-LED,POST,2.5,B,J76I,4,2,3,3,3,4,3,4,26
BPK693,TUTOR-LED,POST,2.5,C,J76I,3,2,2,2,2,2,2,2,17
BQL579,E-LEARNING,PRE,1,A,T22H,1,1,1,1,1,1,1,1,8
BQL579,E-LEARNING,PRE,1,B,T22H,2,2,3,2,3,1,1,1,15
BQL579,E-LEARNING,PRE,1,C,T22H,2,2,1,1,2,1,1,1,11
BQL579,E-LEARNING,POST,3.5,A,H22T,2,2,2,3,2,2,2,2,17
BQL579,E-LEARNING,POST,3.5,B,H22T,4,3,3,3,3,3,3,3,25
BQL579,E-LEARNING,POST,3.5,C,H22T,3,2,2,3,3,3,3,3,22
BSX718,HMD-BASED,PRE,4,A,G21U,2,2,2,2,2,2,2,2,16
BSX718,HMD-BASED,PRE,4,B,G21U,2,2,3,3,2,3,2,3,20
BSX718,HMD-BASED,PRE,4,C,G21U,3,1,1,2,2,2,2,1,14
BSX718,HMD-BASED,POST,4.5,A,U12G,3,3,3,3,3,3,3,3,24
BSX718,HMD-BASED,POST,4.5,B,U12G,4,4,5,5,4,5,5,5,37
BSX718,HMD-BASED,POST,4.5,C,U12G,2,4,3,4,3,4,4,4,28
BTB157,HMD-BASED,PRE,3.5,A,D51V,1,1,2,2,2,2,2,2,14
BTB157,HMD-BASED,PRE,3.5,B,D51V,3,2,3,2,2,3,3,3,21
BTB157,HMD-BASED,PRE,3.5,C,D51V,2,2,2,2,2,3,2,2,17
BTB157,HMD-BASED,POST,4.5,A,V15D,3,3,3,3,3,3,3,2,23
BTB157,HMD-BASED,POST,4.5,B,V15D,3,4,4,4,3,5,4,3,30
BTB157,HMD-BASED,POST,4.5,C,V15D,2,4,4,3,4,4,4,4,29
CCC965,E-LEARNING,PRE,1.5,A,K16O,1,2,1,2,1,2,1,2,12
CCC965,E-LEARNING,PRE,1.5,B,K16O,2,2,2,2,1,2,2,2,15
CCC965,E-LEARNING,PRE,1.5,C,K16O,3,1,1,1,1,1,1,1,10
CCC965,E-LEARNING,POST,4,A,O61K,2,2,2,2,2,2,2,2,16
CCC965,E-LEARNING,POST,4,B,O61K,3,3,3,3,2,3,3,3,23
CCC965,E-LEARNING,POST,4,C,O61K,2,3,2,3,3,2,3,2,20
CCR425,HMD-BASED,PRE,4.5,A,Q30R,4,2,3,3,3,4,3,3,25
CCR425,HMD-BASED,PRE,4.5,B,Q30R,3,4,3,2,3,3,3,3,24
CCR425,HMD-BASED,PRE,4.5,C,Q30R,3,2,2,2,2,3,2,2,18
CCR425,HMD-BASED,POST,5.5,A,R03Q,4,3,3,3,4,4,3,3,27
CCR425,HMD-BASED,POST,5.5,B,R03Q,3,4,4,3,4,4,4,4,30
CCR425,HMD-BASED,POST,5.5,C,R03Q,3,3,3,3,3,3,3,3,24
CIH708,E-LEARNING,PRE,0.5,A,V29V,1,1,1,1,1,1,1,1,8
CIH708,E-LEARNING,PRE,0.5,B,V29V,4,2,3,2,2,1,2,1,17
CIH708,E-LEARNING,PRE,0.5,C,V29V,3,1,1,1,1,1,1,1,10
CIH708,E-LEARNING,POST,3.5,A,V92V,4,3,3,3,3,4,3,3,26
CIH708,E-LEARNING,POST,3.5,B,V92V,3,3,4,3,4,4,3,4,28
CIH708,E-LEARNING,POST,3.5,C,V92V,3,2,3,3,2,3,3,2,21
CJW667,TUTOR-LED,PRE,3,A,K11Q,1,1,1,1,1,1,1,1,8
CJW667,TUTOR-LED,PRE,3,B,K11Q,3,2,2,1,1,1,1,1,12
CJW667,TUTOR-LED,PRE,3,C,K11Q,1,1,1,1,1,1,1,1,8
CJW667,TUTOR-LED,POST,5.5,A,Q11K,1,2,2,2,2,2,2,2,15
CJW667,TUTOR-LED,POST,5.5,B,Q11K,2,1,1,2,1,2,2,2,13
CJW667,TUTOR-LED,POST,5.5,C,Q11K,2,2,1,2,2,2,1,1,13
CNZ678,E-LEARNING,PRE,0.5,A,Q38Q,1,1,1,1,1,1,1,1,8
CNZ678,E-LEARNING,PRE,0.5,B,Q38Q,4,2,3,3,2,1,2,1,18
CNZ678,E-LEARNING,PRE,0.5,C,Q38Q,3,1,2,1,1,1,1,1,11
CNZ678,E-LEARNING,POST,3.5,A,Q83Q,5,4,3,4,4,4,4,4,32
CNZ678,E-LEARNING,POST,3.5,B,Q83Q,5,3,4,4,4,5,4,4,33
CNZ678,E-LEARNING,POST,3.5,C,Q83Q,3,3,3,3,2,3,3,3,23
COT642,E-LEARNING,PRE,2,A,N66F,1,1,1,1,1,2,1,2,10
COT642,E-LEARNING,PRE,2,B,N66F,2,2,2,2,2,2,2,2,16
COT642,E-LEARNING,PRE,2,C,N66F,3,1,2,2,1,1,2,2,14
COT642,E-LEARNING,POST,5.5,A,F66N,3,3,3,3,3,3,3,3,24
COT642,E-LEARNING,POST,5.5,B,F66N,2,4,4,4,3,4,3,3,27
COT642,E-LEARNING,POST,5.5,C,F66N,3,2,2,3,3,3,3,2,21
CRR769,TUTOR-LED,PRE,0.5,A,A99Y,3,1,2,2,1,1,1,2,13
CRR769,TUTOR-LED,PRE,0.5,B,A99Y,3,2,3,2,2,3,2,2,19
CRR769,TUTOR-LED,PRE,0.5,C,A99Y,3,1,1,3,1,2,2,2,15
CRR769,TUTOR-LED,POST,3,A,Y99A,3,3,3,3,4,3,4,4,27
CRR769,TUTOR-LED,POST,3,B,Y99A,5,5,5,5,4,5,5,5,39
CRR769,TUTOR-LED,POST,3,C,Y99A,3,3,3,4,3,3,4,4,27
CUK271,TUTOR-LED,PRE,0.5,A,K78J,1,1,2,1,1,1,1,1,9
CUK271,TUTOR-LED,PRE,0.5,B,K78J,3,2,2,2,2,1,2,1,15
CUK271,TUTOR-LED,PRE,0.5,C,K78J,1,2,1,1,3,1,1,1,11
CUK271,TUTOR-LED,POST,6.5,A,J87K,4,3,3,4,4,4,4,5,31
CUK271,TUTOR-LED,POST,6.5,B,J87K,3,3,3,3,3,3,3,2,23
CUK271,TUTOR-LED,POST,6.5,C,J87K,3,3,3,3,3,3,3,3,24
DDX226,TUTOR-LED,PRE,3.5,A,L10E,2,2,2,1,1,2,2,2,14
DDX226,TUTOR-LED,PRE,3.5,B,L10E,3,3,3,3,3,3,3,2,23
DDX226,TUTOR-LED,PRE,3.5,C,L10E,2,2,2,2,2,2,2,2,16
DDX226,TUTOR-LED,POST,5,A,E01L,4,3,5,3,4,5,3,3,30
DDX226,TUTOR-LED,POST,5,B,E01L,5,4,4,5,5,5,4,5,37
DDX226,TUTOR-LED,POST,5,C,E01L,3,3,3,3,3,4,3,3,25
DHW894,HMD-BASED,PRE,1,A,M98P,3,1,1,1,1,1,1,1,10
DHW894,HMD-BASED,PRE,1,B,M98P,2,1,2,2,2,2,2,1,14
DHW894,HMD-BASED,PRE,1,C,M98P,2,1,1,1,1,1,1,1,9
DHW894,HMD-BASED,POST,4.5,A,P89M,4,3,4,3,4,4,4,4,30
DHW894,HMD-BASED,POST,4.5,B,P89M,4,4,3,3,3,4,4,4,29
DHW894,HMD-BASED,POST,4.5,C,P89M,3,3,4,4,3,4,4,3,28
DHZ613,E-LEARNING,PRE,2.5,A,W33L,1,1,2,2,2,2,2,2,14
DHZ613,E-LEARNING,PRE,2.5,B,W33L,3,3,3,3,3,3,3,3,24
DHZ613,E-LEARNING,PRE,2.5,C,W33L,2,1,1,1,1,1,1,1,9
DHZ613,E-LEARNING,POST,4.5,A,L33W,2,2,3,3,3,3,3,3,22
DHZ613,E-LEARNING,POST,4.5,B,L33W,3,4,4,3,3,4,4,4,29
DHZ613,E-LEARNING,POST,4.5,C,L33W,4,3,3,4,4,5,4,4,31
DNQ977,E-LEARNING,PRE,4.5,A,R96W,3,3,4,3,3,4,3,3,26
DNQ977,E-LEARNING,PRE,4.5,B,R96W,2,2,3,1,3,4,3,2,20
DNQ977,E-LEARNING,PRE,4.5,C,R96W,3,3,3,3,3,3,3,3,24
DNQ977,E-LEARNING,POST,8,A,W69R,4,3,4,4,4,4,4,4,31
DNQ977,E-LEARNING,POST,8,B,W69R,3,3,4,3,4,4,4,3,28
DNQ977,E-LEARNING,POST,8,C,W69R,3,4,3,2,4,4,3,2,25
DZK210,HMD-BASED,PRE,2.5,A,B61D,1,1,2,1,2,1,1,2,11
DZK210,HMD-BASED,PRE,2.5,B,B61D,2,1,2,2,2,1,2,3,15
DZK210,HMD-BASED,PRE,2.5,C,B61D,2,1,1,1,1,2,1,1,10
DZK210,HMD-BASED,POST,4.5,A,D16B,4,3,3,3,4,4,3,4,28
DZK210,HMD-BASED,POST,4.5,B,D16B,4,3,4,4,3,4,4,4,30
DZK210,HMD-BASED,POST,4.5,C,D16B,3,3,3,3,3,3,3,3,24
EDQ111,TUTOR-LED,PRE,0.5,A,L84T,1,1,1,1,1,1,1,1,8
EDQ111,TUTOR-LED,PRE,0.5,B,L84T,2,2,3,1,2,2,2,1,15
EDQ111,TUTOR-LED,PRE,0.5,C,L84T,1,1,1,1,1,1,1,1,8
EDQ111,TUTOR-LED,POST,5,A,T48L,4,4,5,5,4,4,5,4,35
EDQ111,TUTOR-LED,POST,5,B,T48L,4,3,4,4,4,4,4,4,31
EDQ111,TUTOR-LED,POST,5,C,T48L,3,4,4,4,4,4,4,4,31
EEO901,HMD-BASED,PRE,2.5,A,F10I,2,1,2,1,1,2,1,1,11
EEO901,HMD-BASED,PRE,2.5,B,F10I,3,2,3,2,3,4,3,3,23
EEO901,HMD-BASED,PRE,2.5,C,F10I,2,1,1,1,1,2,1,1,10
EEO901,HMD-BASED,POST,4.5,A,I01F,3,3,4,4,4,4,3,4,29
EEO901,HMD-BASED,POST,4.5,B,I01F,3,3,3,3,3,4,3,3,25
EEO901,HMD-BASED,POST,4.5,C,I01F,4,4,4,4,4,3,4,4,31
ELQ418,TUTOR-LED,PRE,0.5,A,X98Z,1,1,1,1,1,1,1,1,8
ELQ418,TUTOR-LED,PRE,0.5,B,X98Z,3,1,3,2,1,1,2,1,14
ELQ418,TUTOR-LED,PRE,0.5,C,X98Z,2,1,1,1,1,1,1,1,9
ELQ418,TUTOR-LED,POST,2,A,Z89X,3,3,3,3,2,3,3,3,23
ELQ418,TUTOR-LED,POST,2,B,Z89X,4,2,2,2,2,3,2,3,20
ELQ418,TUTOR-LED,POST,2,C,Z89X,3,2,2,3,1,3,2,3,19
ENY196,TUTOR-LED,PRE,3.5,A,V22O,4,3,4,4,3,3,3,2,26
ENY196,TUTOR-LED,PRE,3.5,B,V22O,3,3,3,2,3,3,3,2,22
ENY196,TUTOR-LED,PRE,3.5,C,V22O,2,2,2,1,2,1,1,1,12
ENY196,TUTOR-LED,POST,5,A,O22V,4,2,4,3,3,4,4,4,28
ENY196,TUTOR-LED,POST,5,B,O22V,4,3,3,3,3,4,3,3,26
ENY196,TUTOR-LED,POST,5,C,O22V,3,3,3,3,3,3,3,3,24
EOJ564,TUTOR-LED,PRE,2.5,A,O10Z,1,1,2,1,1,2,2,2,12
EOJ564,TUTOR-LED,PRE,2.5,B,O10Z,2,2,2,2,2,4,2,2,18
EOJ564,TUTOR-LED,PRE,2.5,C,O10Z,2,2,2,2,1,2,2,2,15
EOJ564,TUTOR-LED,POST,4,A,Z01O,4,3,4,4,3,4,3,4,29
EOJ564,TUTOR-LED,POST,4,B,Z01O,3,3,4,3,4,4,3,3,27
EOJ564,TUTOR-LED,POST,4,C,Z01O,3,3,3,3,3,3,3,3,24
EPQ609,E-LEARNING,PRE,4,A,X14A,3,3,3,3,3,3,3,3,24
EPQ609,E-LEARNING,PRE,4,B,X14A,2,3,3,3,3,4,3,3,24
EPQ609,E-LEARNING,PRE,4,C,X14A,3,2,2,2,2,3,2,3,19
EPQ609,E-LEARNING,POST,5,A,A41X,4,3,3,4,3,3,3,3,26
EPQ609,E-LEARNING,POST,5,B,A41X,5,5,5,5,5,5,5,5,40
EPQ609,E-LEARNING,POST,5,C,A41X,5,4,4,5,5,4,4,5,36
ETB270,TUTOR-LED,PRE,0.5,A,S77O,1,1,1,1,1,1,1,1,8
ETB270,TUTOR-LED,PRE,0.5,B,S77O,2,2,2,3,3,1,2,1,16
ETB270,TUTOR-LED,PRE,0.5,C,S77O,3,2,2,1,4,1,1,1,15
ETB270,TUTOR-LED,POST,4.5,A,O77S,4,3,4,3,3,4,3,3,27
ETB270,TUTOR-LED,POST,4.5,B,O77S,4,4,4,4,4,4,4,4,32
ETB270,TUTOR-LED,POST,4.5,C,O77S,2,2,3,2,2,3,2,2,18
EVZ976,TUTOR-LED,PRE,2.5,A,R55K,1,1,1,1,1,2,2,1,10
EVZ976,TUTOR-LED,PRE,2.5,B,R55K,3,2,3,2,2,2,2,2,18
EVZ976,TUTOR-LED,PRE,2.5,C,R55K,2,2,2,2,2,2,2,2,16
EVZ976,TUTOR-LED,POST,4.5,A,K55R,3,3,3,3,2,3,3,3,23
EVZ976,TUTOR-LED,POST,4.5,B,K55R,2,3,3,3,3,4,4,3,25
EVZ976,TUTOR-LED,POST,4.5,C,K55R,2,2,3,2,3,3,2,2,19
FFP213,TUTOR-LED,PRE,2.5,A,G66T,2,2,2,3,2,2,2,3,18
FFP213,TUTOR-LED,PRE,2.5,B,G66T,3,3,3,3,3,3,3,3,24
FFP213,TUTOR-LED,PRE,2.5,C,G66T,1,1,1,2,1,2,2,1,11
FFP213,TUTOR-LED,POST,5.5,A,T66G,3,4,3,3,3,3,4,3,26
FFP213,TUTOR-LED,POST,5.5,B,T66G,2,2,3,3,2,3,2,2,19
FFP213,TUTOR-LED,POST,5.5,C,T66G,4,4,4,4,4,4,4,4,32
FII548,E-LEARNING,PRE,4.5,A,V23S,4,2,3,3,3,4,3,3,25
FII548,E-LEARNING,PRE,4.5,B,V23S,4,3,4,3,3,3,3,3,26
FII548,E-LEARNING,PRE,4.5,C,V23S,3,2,3,3,2,3,3,3,22
FII548,E-LEARNING,POST,5.5,A,S32V,3,3,4,4,4,4,4,4,30
FII548,E-LEARNING,POST,5.5,B,S32V,4,4,5,5,4,5,4,4,35
FII548,E-LEARNING,POST,5.5,C,S32V,3,4,4,3,4,4,4,4,30
FKK289,HMD-BASED,PRE,0.5,A,N99Z,1,1,1,1,1,1,1,1,8
FKK289,HMD-BASED,PRE,0.5,B,N99Z,1,1,1,1,1,2,1,1,9
FKK289,HMD-BASED,PRE,0.5,C,N99Z,2,1,1,1,1,1,1,1,9
FKK289,HMD-BASED,POST,5.5,A,Z99N,3,3,4,2,4,4,3,2,25
FKK289,HMD-BASED,POST,5.5,B,Z99N,4,4,4,4,4,4,4,4,32
FKK289,HMD-BASED,POST,5.5,C,Z99N,3,3,3,3,3,3,3,3,24
FLY754,TUTOR-LED,PRE,3.5,A,N74O,1,1,2,1,2,2,2,2,13
FLY754,TUTOR-LED,PRE,3.5,B,N74O,2,2,3,2,3,2,2,2,18
FLY754,TUTOR-LED,PRE,3.5,C,N74O,2,2,2,2,2,2,2,2,16
FLY754,TUTOR-LED,POST,5.5,A,O47N,4,3,4,4,4,4,4,3,30
FLY754,TUTOR-LED,POST,5.5,B,O47N,4,4,3,3,3,4,3,3,27
FLY754,TUTOR-LED,POST,5.5,C,O47N,2,3,2,3,3,2,3,2,20
FMM250,TUTOR-LED,PRE,0.5,A,Z30F,1,1,1,1,1,2,1,1,9
FMM250,TUTOR-LED,PRE,0.5,B,Z30F,4,2,3,2,2,2,2,2,19
FMM250,TUTOR-LED,PRE,0.5,C,Z30F,3,1,1,1,1,1,1,1,10
FMM250,TUTOR-LED,POST,3,A,F03Z,4,4,4,3,4,4,4,4,31
FMM250,TUTOR-LED,POST,3,B,F03Z,5,4,4,4,4,5,4,5,35
FMM250,TUTOR-LED,POST,3,C,F03Z,2,3,3,3,3,3,3,3,23
FRV956,TUTOR-LED,PRE,3.5,A,R70P,3,3,3,4,4,4,3,3,27
FRV956,TUTOR-LED,PRE,3.5,B,R70P,2,2,3,2,2,3,2,2,18
FRV956,TUTOR-LED,PRE,3.5,C,R70P,2,3,2,2,3,3,2,2,19
FRV956,TUTOR-LED,POST,5.5,A,P07R,4,3,4,4,4,4,4,4,31
FRV956,TUTOR-LED,POST,5.5,B,P07R,3,4,4,3,4,4,4,3,29
FRV956,TUTOR-LED,POST,5.5,C,P07R,3,3,4,5,2,4,4,4,29
FXS878,E-LEARNING,PRE,1.5,A,G94Z,1,1,1,2,1,2,1,1,10
FXS878,E-LEARNING,PRE,1.5,B,G94Z,3,2,3,3,2,2,2,2,19
FXS878,E-LEARNING,PRE,1.5,C,G94Z,1,1,1,1,1,1,1,1,8
FXS878,E-LEARNING,POST,4,A,Z49G,3,3,3,3,2,3,3,3,23
FXS878,E-LEARNING,POST,4,B,Z49G,4,3,4,4,3,5,4,5,32
FXS878,E-LEARNING,POST,4,C,Z49G,3,2,2,3,3,3,3,4,23
GAR489,E-LEARNING,PRE,3,A,F95D,4,4,3,3,3,4,3,3,27
GAR489,E-LEARNING,PRE,3,B,F95D,2,2,2,2,2,4,3,2,19
GAR489,E-LEARNING,PRE,3,C,F95D,3,2,2,3,2,3,2,2,19
GAR489,E-LEARNING,POST,5,A,D59F,4,4,4,4,4,5,4,4,33
GAR489,E-LEARNING,POST,5,B,D59F,4,4,4,4,4,5,3,4,32
GAR489,E-LEARNING,POST,5,C,D59F,3,3,3,3,4,3,3,4,26
GDS124,TUTOR-LED,PRE,0.5,A,U92P,1,1,1,1,1,1,1,1,8
GDS124,TUTOR-LED,PRE,0.5,B,U92P,2,2,3,2,2,1,2,1,15
GDS124,TUTOR-LED,PRE,0.5,C,U92P,2,1,1,1,1,1,1,1,9
GDS124,TUTOR-LED,POST,4,A,P29U,4,3,3,4,3,4,3,2,26
GDS124,TUTOR-LED,POST,4,B,P29U,3,2,3,2,3,3,3,3,22
GDS124,TUTOR-LED,POST,4,C,P29U,3,2,2,2,2,2,2,2,17
GFR744,HMD-BASED,PRE,0.5,A,K56C,1,1,1,1,1,1,1,1,8
GFR744,HMD-BASED,PRE,0.5,B,K56C,3,1,2,2,2,2,1,1,14
GFR744,HMD-BASED,PRE,0.5,C,K56C,2,1,1,1,1,1,1,1,9
GFR744,HMD-BASED,POST,4.5,A,C65K,2,1,2,2,2,2,2,2,15
GFR744,HMD-BASED,POST,4.5,B,C65K,3,3,4,4,3,4,3,4,28
GFR744,HMD-BASED,POST,4.5,C,C65K,3,2,2,3,2,3,2,3,20
GGK346,TUTOR-LED,PRE,1.5,A,C36X,3,1,1,2,1,1,1,2,12
GGK346,TUTOR-LED,PRE,1.5,B,C36X,4,2,3,2,2,4,3,3,23
GGK346,TUTOR-LED,PRE,1.5,C,C36X,3,1,1,1,1,1,1,1,10
GGK346,TUTOR-LED,POST,3,A,X63C,4,3,4,4,3,4,4,3,29
GGK346,TUTOR-LED,POST,3,B,X63C,3,2,2,3,3,4,3,4,24
GGK346,TUTOR-LED,POST,3,C,X63C,3,2,3,3,2,3,2,3,21
GHH869,TUTOR-LED,PRE,2,A,R64C,1,1,1,1,1,1,1,1,8
GHH869,TUTOR-LED,PRE,2,B,R64C,1,2,2,2,1,2,2,1,13
GHH869,TUTOR-LED,PRE,2,C,R64C,1,1,1,1,1,1,1,1,8
GHH869,TUTOR-LED,POST,6,A,C46R,3,3,3,3,3,3,4,3,25
GHH869,TUTOR-LED,POST,6,B,C46R,4,4,5,5,4,5,5,5,37
GHH869,TUTOR-LED,POST,6,C,C46R,3,3,3,4,4,4,4,4,29
GJO210,E-LEARNING,PRE,2,A,G22R,3,2,4,3,3,4,3,2,24
GJO210,E-LEARNING,PRE,2,B,G22R,3,2,3,2,2,4,3,2,21
GJO210,E-LEARNING,PRE,2,C,G22R,3,1,2,1,2,2,2,2,15
GJO210,E-LEARNING,POST,4,A,R22G,4,4,4,3,4,4,4,4,31
GJO210,E-LEARNING,POST,4,B,R22G,2,3,3,3,2,4,3,4,24
GJO210,E-LEARNING,POST,4,C,R22G,3,4,4,4,4,4,4,4,31
GMG238,TUTOR-LED,PRE,2,A,I70X,2,1,2,1,1,2,2,2,13
GMG238,TUTOR-LED,PRE,2,B,I70X,3,2,3,2,2,2,2,3,19
GMG238,TUTOR-LED,PRE,2,C,I70X,3,2,2,2,2,2,2,3,18
GMG238,TUTOR-LED,POST,4,A,X07I,4,4,4,4,3,4,4,3,30
GMG238,TUTOR-LED,POST,4,B,X07I,4,3,4,4,4,5,4,4,32
GMG238,TUTOR-LED,POST,4,C,X07I,3,2,2,3,1,3,2,3,19
GSG391,HMD-BASED,PRE,0.5,A,G92L,1,1,1,1,1,1,1,1,8
GSG391,HMD-BASED,PRE,0.5,B,G92L,2,1,2,2,1,1,1,1,11
GSG391,HMD-BASED,PRE,0.5,C,G92L,1,1,1,1,1,1,1,1,8
GSG391,HMD-BASED,POST,2.5,A,L29G,1,1,1,2,1,2,2,2,12
GSG391,HMD-BASED,POST,2.5,B,L29G,3,3,3,3,2,4,3,3,24
GSG391,HMD-BASED,POST,2.5,C,L29G,3,2,2,3,3,3,2,3,21
GTU759,HMD-BASED,PRE,1,A,R65M,1,1,1,1,1,2,1,1,9
GTU759,HMD-BASED,PRE,1,B,R65M,3,2,2,2,1,1,1,1,13
GTU759,HMD-BASED,PRE,1,C,R65M,1,1,1,1,1,1,1,1,8
GTU759,HMD-BASED,POST,3,A,M56R,3,2,3,2,3,3,3,3,22
GTU759,HMD-BASED,POST,3,B,M56R,2,2,3,3,3,3,2,2,20
GTU759,HMD-BASED,POST,3,C,M56R,2,2,1,2,1,2,2,1,13
GXW981,HMD-BASED,PRE,2,A,O16G,1,1,1,2,1,2,2,2,12
GXW981,HMD-BASED,PRE,2,B,O16G,2,2,2,2,2,4,2,2,18
GXW981,HMD-BASED,PRE,2,C,O16G,3,2,2,1,2,2,2,1,15
GXW981,HMD-BASED,POST,5.5,A,G61O,3,3,4,3,3,4,3,3,26
GXW981,HMD-BASED,POST,5.5,B,G61O,4,4,4,4,4,5,4,4,33
GXW981,HMD-BASED,POST,5.5,C,G61O,3,4,4,3,4,3,3,3,27
GYK443,HMD-BASED,PRE,1,A,K53Y,1,1,1,1,1,2,1,2,10
GYK443,HMD-BASED,PRE,1,B,K53Y,3,2,2,2,2,1,1,1,14
GYK443,HMD-BASED,PRE,1,C,K53Y,1,1,1,1,1,1,1,1,8
GYK443,HMD-BASED,POST,4.5,A,Y35K,3,3,3,2,3,3,4,3,24
GYK443,HMD-BASED,POST,4.5,B,Y35K,4,4,4,4,4,4,4,4,32
GYK443,HMD-BASED,POST,4.5,C,Y35K,3,2,3,3,3,3,2,2,21
HCH427,E-LEARNING,PRE,1.5,A,E45Q,3,1,3,3,2,3,2,1,18
